# boru Language Specification: error-taxonomy edge cases II
# Format: input<TAB>expected<TAB>description
#
# Continuation of edge-errors-1.tsv: the catch-and-substitute idiom
# through fn boundaries, raising out of control contexts (if / case /
# fold / filter), reserved words, parse-time numeric taxonomy, the §5
# uncalled_function residue check, and structural assertions.
#
# ─────────────────────────────────────────────────────────────────────
# §1  the catch-and-substitute idiom — errors stay local to a boundary
def sd fn [[a:Integer b:Integer] [Integer] [do [a div b] error [drop -1]]] sd 10 2	5	a fn wraps a risky op: the success path is untouched
def x:Integer "s"	ERROR:does not unify with declared type	a typed def rejects a non-conforming value loudly
9223372036854775808	ERROR:integer_overflow	an integer LITERAL past MaxInt is rejected at parse
10000000000000000000	ERROR:integer_overflow	…however it is spelled
-1e309	ERROR:float_overflow	a negative overflowing float literal is rejected at parse too
[1 2] getr -1	ERROR:out of bounds	a negative strict index misses loudly
#
# §4  the §5 uncalled_function residue check (design/legacy/ERRORS.8.ignore)
import "boru:math-util" MathUtil.sqrt "x"	ERROR:uncalled_function	a wrapper call matching no signature leaves the fn as data — the end-of-run drain names it
import "boru:string-util" StringUtil.upper 42	ERROR:uncalled_function	…same through any module wrapper
#
# §5  structural assertions and accumulation
import "boru:test" Assert.equal [1 2] [1 2] end 7	7	Assert.equal compares lists structurally
import "boru:test" Assert.equal {a:1} {a:1} end 7	7	…and maps
import "boru:test" Assert.equal {a:1} {a:2}	ERROR:assertion_failure	a one-field difference fails
import "boru:test" Assert.throws [raise x_c "x"] end 7	7	Assert.throws accepts a user raise, not just native errors
import "boru:test" Test.test "a" [Assert.ok none] end Test.test "b" [Assert.ok none] end Test.fail-count	2	failures accumulate across recorded tests
import "boru:test" Test.test "f" [Assert.ok none] end Test.test "p" [Assert.ok 1] end Test.summary	{total:2 passed:1 failed:1}	a failing test never stops a later passing one
#
# §6  the parse nesting guard — a deterministic evaluation_limit
# (maxParseNestingDepth is a parser constant, so this is not budget-dependent)
