# boru Language Specification: error-taxonomy edge cases
# Format: input<TAB>expected<TAB>description
#
# Edge-case battery over the error system (design/legacy/ERRORS.8.ignore): the
# three raise forms and their payloads, do-boundary reification and
# code routing, taxonomy precision for the native codes, the
# pattern-match no-op contract of `error`, and the boru:test assertion
# words. Companion to error.tsv (the §1-§4 basics live there; nothing
# here duplicates a row from that file). Where a row's natural result
# would be an Any-bounded carrier (a field read off a caught Error),
# it is pinned through a concluding `eq` so the residual stays narrow.
#
# ─────────────────────────────────────────────────────────────────────
# §1  raise forms — codes, payloads, and rejections
raise user_thing "m"	ERROR:user_thing	any bare word names the code, not just documented ones
9223372036854775807 mul 2	ERROR:integer_overflow	multiplication past MaxInt
4611686018427387904 add 4611686018427387904	ERROR:integer_overflow	2^62 + 2^62 is exactly 2^63 — one past MaxInt
0 sub (0 sub 9223372036854775807 sub 1)	ERROR:integer_overflow	negating MinInt overflows (|MinInt| > MaxInt)
9223372036854775806 add 1	9223372036854775807	…but landing EXACTLY on MaxInt is fine
1.7976931348623157e308 mul 2.0	inf	Float overflow is IEEE: it goes to inf, never integer_overflow
1e309	ERROR:float_overflow	an overflowing float LITERAL is rejected at parse — you cannot spell inf by overflow
#
# §3b  division / modulo by zero
1 mod 0	ERROR:modulo by zero	modulo by a static zero is loud
def z 0 1 div z	ERROR:division by zero	…and a zero through a binding divides just as loudly
1.0 div 0.0	inf	Float division by zero is IEEE inf, not an error
-1.0 div 0.0	-inf	…signed
#
# §3c  incomparable — cross-family ordering
none cmp 1	ERROR:incomparable	None does not order against numbers
aa/q gte "a"	ERROR:incomparable	atoms do not order against strings
true lt 1	ERROR:incomparable	booleans do not order against numbers
#
# §3d  signature / undefined-word
def f fn [[x:Integer] [Integer] [x]] f true	ERROR:no signature matches	no overload of a typed fn covers a Boolean argument
def f fn [[x:Integer] [Integer] [x]] f "s"	ERROR:no signature matches	…nor a String one — dispatch failures are loud
nosuchword 1 2	ERROR:undefined_word	a bare unknown word is undefined
nope.word 1	ERROR:undefined_word	a dotted chain on an unbound lowercase name blames the root
#
# §3e  sealed class fields and return-type enforcement
def C class {v:Integer} def c (make C {v:1}) c set "w" 9	ERROR:sealed_field	class instances are sealed — an undeclared field cannot be set
def f fn [[x:Integer] [Integer] ["s"]] f 1	ERROR:type_error	a declared return is enforced — String can never be Integer
def f fn [[x:Integer] [String] [x add 1]] f 1	ERROR:type_error	…in either direction
#
# §3f  strict lookups
[1 2] getr 5	ERROR:out of bounds	strict list index misses loudly
do [{a:1} !. b] error [dot message] eq 'getr: key "b" not found in map'	true	the strict-miss message is readable off the caught Error
#
# ─────────────────────────────────────────────────────────────────────
# §4  `error` is a pattern match — a no-op on every non-Error top
42 error [drop 0]	42	an Integer passes through; the handler never runs
"s" error [drop 0] eq "s"	true	a String passes through
none error [drop 0] typeof	None	None is not an Error
[1 2] error [drop 0] size	2	a List passes through
{a:1} error [drop 0] size	1	a Map passes through
1 2 error [drop 0] eq 2	1 true	only the TOP of stack is matched; deeper values are untouched
do [5] error [drop 1] error [drop 2] eq 5	true	chained error words are all no-ops on a success value
#
# ─────────────────────────────────────────────────────────────────────
# §5  boru:test assertions — pass, fail, and sequencing
import "boru:test" Assert.equal 1 1 end 7	7	a passing Assert.equal returns nothing and execution continues
import "boru:test" Assert.not-equal 1 2 end 7	7	a passing Assert.not-equal is silent
import "boru:test" Assert.ok 5 end 7	7	any truthy value passes Assert.ok
import "boru:test" Assert.match "ell" "hello" end 7	7	a contained substring passes Assert.match
import "boru:test" Assert.throws [1 0 div] end 7	7	a raising body passes Assert.throws
import "boru:test" Assert.not-equal 3 3	ERROR:assertion_failure	equal sides fail not-equal
import "boru:test" Assert.ok none	ERROR:assertion_failure	none is falsy for Assert.ok
import "boru:test" Assert.match "zz" "hello"	ERROR:assertion_failure	a missing substring fails Assert.match
import "boru:test" Assert.throws [1]	ERROR:assertion_failure	a non-raising body fails Assert.throws
import "boru:test" Test.test "f" [Assert.equal 1 2] end Test.fail-count	1	Test.test catches an assertion_failure and records it — later cases still run
import "boru:test" Test.test "f" [Assert.ok none] end Test.summary	{total:1 passed:0 failed:1}	…a falsy Assert.ok records the same way
