# boru Language Specification: the boru:io module
# Format: input<TAB>expected<TAB>description
#
# Loadable module of input/output words that were moved out of the core
# registry. Most are reached only after `import`, under the `IO`
# namespace: `import "boru:io" IO.word args`. `print` is NOT here — it
# stays a core word so basic output needs no import.
#
# FILE I/O IS PATHON-ONLY. Every filesystem target is a `Scalar/Micron/
# Pathon` built with `make Pathon "…"` — a bare string is declined, so a
# file target is type-distinct from an arbitrary string and from a stream
# handle. A word that returns its target returns that Pathon (rendered
# without quotes), so `IO.read (IO.write p x)` threads through.
#
# `list` and `remove` are the exception to the namespace rule: boru:io
# extends the CORE `list` / `remove` words with a Pathon overload, so
# after import the BARE words gain filesystem behaviour — `list p` /
# `remove p` — rather than a separate `IO.list` / `IO.remove` (see
# design/OPEN-WORDS.0.md). The overload only registers on import.
#
# ─────────────────────────────────────────────────────────────────────
# §1  stream handles — `stdin`/`stdout`/`stderr` are ATOMs of the
#     StreamKind type (a closed enumeration of exactly those three, not
#     strings). StreamKind is exported by this module — `IO.StreamKind`,
#     not a global builtin.
import "boru:io" IO.stdout	stdout/q	standard-output handle is the `stdout` atom
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://c.txt") "hi" drop  IO.copy (make Pathon "mem://c.txt") (make Pathon "mem://c2.txt") drop  IO.read (make Pathon "mem://c2.txt")	'hi'	copy duplicates a file's contents
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://cd/a.txt") "x" drop  IO.copy (make Pathon "mem://cd") (make Pathon "mem://cd2")	ERROR:copy	copying a directory without {recursive} errors
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://co.txt") "1" drop  IO.write (make Pathon "mem://co2.txt") "2" drop  IO.copy (make Pathon "mem://co.txt") (make Pathon "mem://co2.txt") {overwrite:false}	ERROR:copy	{overwrite:false} declines an existing copy destination
#
# §13  link — create a link at dst referring to src: a symlink by default,
#      a hard link with {hard:true}. Returns the link Pathon.
import "boru:io"  context dot __sys dot fs set mem true  IO.link (make Pathon "mem://target.txt") (make Pathon "mem://sl")	mem:/sl	link returns the created link path
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://h.txt") "hi" drop  IO.link (make Pathon "mem://h.txt") (make Pathon "mem://h2") {hard:true} drop  IO.read (make Pathon "mem://h2")	'hi'	a hard link shares the file's contents
import "boru:io"  context dot __sys dot fs set mem true  IO.link (make Pathon "mem://ghost") (make Pathon "mem://hl") {hard:true}	ERROR:link	a hard link to an absent target errors
#
# §14  touch — create a path if absent and apply {mode}/{mtime}/{atime}/{size}.
import "boru:io"  context dot __sys dot fs set mem true  IO.touch (make Pathon "mem://t.txt") drop  (IO.stat (make Pathon "mem://t.txt")).size	0	touch creates an empty file
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://t.txt") "hello" drop  IO.touch (make Pathon "mem://t.txt") {size:2} drop  (IO.stat (make Pathon "mem://t.txt")).size	2	touch {size} truncates a file
import "boru:io"  context dot __sys dot fs set mem true  IO.touch (make Pathon "mem://t.txt") {size:-1}	ERROR:touch	a negative touch size errors
#
# §15  binary & positioned read/write — {enc:'bytes'} returns Bytes,
#      {offset}/{length} slice a read, a Bytes payload writes verbatim, and
#      {offset} splices a positioned write.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://h.txt") "hello" drop  IO.read (make Pathon "mem://h.txt") {offset:1 length:3}	'ell'	positioned read returns a text slice
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://h.txt") "hello" drop  IO.read (make Pathon "mem://h.txt") {enc:'bytes'}	Bytes<68 65 6c 6c 6f>	a binary read returns Bytes
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://h.txt") "hello" drop  IO.write (make Pathon "mem://e.txt") "bytes" drop  def e (IO.read (make Pathon "mem://e.txt"))  typeof (IO.read (make Pathon "mem://h.txt") {enc:e})	Bytes	a COMPUTED enc decides the result type at run time, so the check model must not route on it (a shallow-concrete opts map hides a carrier field)
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://b.bin") (convert Bytes "hi") drop  IO.read (make Pathon "mem://b.bin")	'hi'	writing Bytes stores the raw bytes
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://p.bin") "hello" drop  IO.write (make Pathon "mem://p.bin") (convert Bytes "XY") {offset:1} drop  IO.read (make Pathon "mem://p.bin")	'hXYlo'	{offset} splices a positioned write
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://z.bin") (convert Bytes "a") {offset:-1}	ERROR:write	a negative write offset errors
#
# §16  text encodings — {enc} is EXPLICIT ONLY (default utf8, no BOM
#      sniffing): utf16le / utf16be write a BOM and strip a matching one on
#      read; latin1 is strict (a rune outside ISO 8859-1 declines to encode);
#      an unknown enc is a hard error on both read and write.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://u.txt") "hi" {enc:'utf16le'} drop  IO.read (make Pathon "mem://u.txt") {enc:'utf16le'}	'hi'	utf16le round-trips through write and read
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://u.txt") "hi" {enc:'utf16le'} drop  IO.read (make Pathon "mem://u.txt") {enc:'bytes'}	Bytes<ff fe 68 00 69 00>	utf16le writes a little-endian BOM then LE code units
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://u.txt") "hi" {enc:'utf16be'} drop  IO.read (make Pathon "mem://u.txt") {enc:'bytes'}	Bytes<fe ff 00 68 00 69>	utf16be writes a big-endian BOM then BE code units
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://l.txt") "hé" {enc:'latin1'} drop  IO.read (make Pathon "mem://l.txt") {enc:'bytes'}	Bytes<68 e9>	latin1 maps into single bytes
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://l.txt") "hé" {enc:'latin1'} drop  IO.read (make Pathon "mem://l.txt") {enc:'latin1'}	'hé'	latin1 round-trips
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://l.txt") "€" {enc:'latin1'}	ERROR:write	a rune outside ISO 8859-1 declines to encode (strict, no substitution)
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://e.txt") "x" {enc:'bogus'}	ERROR:write	an unknown write encoding is a hard error
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://e.txt") "x" drop  IO.read (make Pathon "mem://e.txt") {enc:'bogus'}	ERROR:read	an unknown read encoding is a hard error
#
# §19  temp — IO.temp creates a unique file (default) or directory
#      ({dir:true}) under {in:Pathon} (default the temp root), named
#      {prefix}…{suffix}; it returns the created Pathon. The name carries
#      a backend token (a deterministic counter in mem, a random token on
#      a real volume), so the rows assert shape/type, never the token.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  (IO.temp {}) is Pathon	true	IO.temp returns a Pathon
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  (IO.stat (IO.temp {})).type	file/q	the default form creates a file
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  (IO.stat (IO.temp {dir:true})).type	dir/q	{dir:true} creates a directory instead
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  def d (IO.temp {dir:true})  IO.write (make Pathon `${d}/f.txt`) "deep" drop  IO.read (make Pathon `${d}/f.txt`)	'deep'	a temp directory is a real, writable directory
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  IO.temp {in:(make Pathon "mem://ghostdir")}	ERROR:temp	temp in an absent directory errors (os.CreateTemp fidelity)
#
# §20  space — IO.space reports the volume holding a Pathon as a map
#      {total free available bsize type}. Numbers are backend-defined
#      (the mem filesystem reports a synthetic 1 GiB volume); the rows
#      assert the shape and the usage invariant, not the raw values.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://f") "12345" drop  (IO.space (make Pathon "mem://f")).type	'mem'	space reports the volume type
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://f") "12345" drop  (IO.space (make Pathon "mem://f")).total	1073741824	the synthetic mem volume is 1 GiB
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://f") "12345" drop  def s (IO.space (make Pathon "mem://f"))  (s.available) lte (s.total)	true	available space never exceeds total
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  IO.space (make Pathon "mem://ghost")	ERROR:space	space on an absent path errors
#
# §21  atomic write — write {atomic:true} stages the bytes in a temp file
#      in the TARGET'S directory then renames it into place, so a reader
#      never observes a half-written file. It cannot combine with a
#      positioned {offset} (a splice is inherently in-place).
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://a.txt") "old" drop  IO.write (make Pathon "mem://a.txt") "new" {atomic:true} drop  IO.read (make Pathon "mem://a.txt")	'new'	an atomic write replaces the file's contents in one step
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://a.bin") (convert Bytes "z") {atomic:true offset:0}	ERROR:write	{atomic} cannot combine with {offset}
#
# §22  file handles — IO.open acquires a stateful File handle on a Pathon;
#      IO.seek/IO.flush/IO.close drive it, and read/write gain File
#      overloads (read f {length offset enc}; write f data {offset} → f).
#      The options map is {mode:read|write|append|rw, create, exclusive,
#      truncate, perm}. A handle shares the mem backing store, so a handle
#      write is visible to a stateless read before close.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  (IO.open (make Pathon "mem://k")) is IO.File	true	IO.open returns a File handle
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  typeof (IO.open (make Pathon "mem://k"))	File	the handle inhabits the File type
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  def f (IO.open (make Pathon "mem://h.txt") {mode:'write'})  IO.write f "hello" drop  IO.close f  IO.read (make Pathon "mem://h.txt")	'hello'	a handle write-then-close round-trips
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://s.txt") "abcdef" drop  def f (IO.open (make Pathon "mem://s.txt"))  IO.seek f 2 drop  IO.read f {length:3}	'cde'	seek then a bounded read slices the file
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://v.txt") "seed" drop  def f (IO.open (make Pathon "mem://v.txt") {mode:'write'})  IO.write f "live" drop  IO.read (make Pathon "mem://v.txt")	'live'	a handle write is visible to a stateless read before close
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://fl.txt") "seed" drop  def f (IO.open (make Pathon "mem://fl.txt") {mode:'write'})  IO.write f "synced" drop  IO.flush f drop  IO.close f  IO.read (make Pathon "mem://fl.txt")	'synced'	IO.flush syncs a handle to its backend
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  IO.close (IO.open (make Pathon "mem://k"))		close releases a File handle, leaving no value
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  IO.open (make Pathon "mem://ghost")	ERROR:open	opening an absent file read-only errors
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  IO.open (make Pathon "mem://k") {mode:'bogus'}	ERROR:open	an unknown open mode errors
import "boru:io"  context dot __sys dot fs set mem true  IO.seek 42 0	ERROR:signature	seek of a non-File is declined — its sigs take a File handle
#
# §23  exclusive write — write {exclusive:true} creates the path with
#      O_EXCL (a true atomic create, no TOCTOU): it fails if the path
#      already exists and cannot combine with append or a positioned
#      {offset}.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k") "x" drop  IO.write (make Pathon "mem://new.txt") "fresh" {exclusive:true} drop  IO.read (make Pathon "mem://new.txt")	'fresh'	{exclusive:true} creates a new file
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://e.txt") "pre" drop  IO.write (make Pathon "mem://e.txt") "x" {exclusive:true}	ERROR:write	{exclusive:true} declines an existing file
import "boru:io"  IO.write (make Pathon "mem://x.txt") "x" {exclusive:true atomic:true}	ERROR:{exclusive} cannot combine	{exclusive} and {atomic} are contradictory create strategies
import "boru:io"  IO.write (make Pathon "mem://x.txt") "x" {exclusive:true mode:"append"}	ERROR:{exclusive} cannot combine	{exclusive} cannot append to a file it insists must not exist
import "boru:io"  IO.write (make Pathon "mem://x.txt") "x" {exclusive:true atomic:true enc:"bogus"}	ERROR:{exclusive} cannot combine	the option-combo compile failure precedes the encoding one — doWrite's order
import "boru:io"  IO.write (make Pathon "mem://x.txt") "x" {fmt:"xml"}	ERROR:is read-only	an explicit parser-backed fmt cannot be written
import "boru:io"  IO.write (make Pathon "mem://x.txt") "x" {fmt:"xml" exclusive:true atomic:true}	ERROR:is read-only	the read-only fmt compile failure precedes the option combo — writeOptsHandler's order, one frame above doWrite
#
# §24  advisory locks — IO.lock takes an advisory lock on a Pathon
#      ({shared:true} for a read lock); {block:false} returns `none` on
#      contention instead of waiting. IO.unlock (and the polymorphic
#      IO.close) release it. The mem model is a canonical-path
#      reader/writer table.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://f") "d" drop  (IO.lock (make Pathon "mem://f")) is IO.Lock	true	IO.lock returns a Lock handle
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://f") "d" drop  def l (IO.lock (make Pathon "mem://f"))  IO.unlock l		unlock releases the lock, leaving no value
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://f") "d" drop  def h (IO.lock (make Pathon "mem://f"))  IO.lock (make Pathon "mem://f") {block:false}	None	a non-blocking lock on a held file returns none
import "boru:io"  context dot __sys dot fs set mem true  IO.lock (make Pathon "mem://ghost")	ERROR:lock	locking an absent path errors
#
# §25  memory-mapped files — IO.mmap maps a file's bytes into a Mmap
#      region; read COPIES bytes out ({offset length enc} window it), a
#      writable region write splices IN place, and IO.flush/IO.close sync
#      and unmap. The mem model is a copy flushed back.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://m") "hello" drop  (IO.mmap (make Pathon "mem://m")) is IO.Mmap	true	IO.mmap returns a Mmap region
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://m") "hello" drop  IO.read (IO.mmap (make Pathon "mem://m"))	'hello'	a Mmap region reads the file's bytes
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://m") "hello" drop  IO.read (IO.mmap (make Pathon "mem://m") {offset:1 length:3})	'ell'	{offset length} window the mapping
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://m") "AAAAA" drop  def m (IO.mmap (make Pathon "mem://m") {writable:true})  IO.write m (convert Bytes "BB") drop  IO.flush m drop  IO.close m  IO.read (make Pathon "mem://m")	'BBAAA'	a writable region splices in place and flushes back
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://m") "x" drop  IO.write (IO.mmap (make Pathon "mem://m")) (convert Bytes "z")	ERROR:write	a read-only region declines a write
import "boru:io"  context dot __sys dot fs set mem true  IO.mmap (make Pathon "mem://ghost")	ERROR:mmap	mapping an absent path errors
#
# §18  mount — the boru→FileOps bridge: `IO.mount {read: fn …}` installs a
#      filesystem IMPLEMENTED IN boru as the host FileOps, so every io word
#      routes through the supplied handler fns (read/write/stat/list/remove,
#      plus optional mkdir/rename/…; an op with no handler declines cleanly).
#      `IO.unmount` restores the previous filesystem. A mounted row is
#      hermetic by construction — every operation lands in boru state. The
#      full handler contract and a database-backed example live in
#      lang/go/native/io_mount.go and io_mount_test.go.
import "boru:io"  IO.mount {read: (p:Pathon => ["from-boru"])}  IO.read (make Pathon "anything.txt")	'from-boru'	a mounted read handler serves IO.read
import "boru:io"  def files (flex {})  IO.mount {read: (p:Pathon => [files get `${p}`]) write: ([p:Pathon data:Any] => [files set `${p}` data drop])}  IO.write (make Pathon "n/a.txt") "hello mounted" drop  IO.read (make Pathon "n/a.txt")	'hello mounted'	a flex-map-backed boru filesystem round-trips through the io words
import "boru:io"  IO.mount {read: (p:Pathon => [none])}  IO.stat (make Pathon "x")	ERROR:stat	an operation with no mounted handler declines cleanly
import "boru:io"  IO.mount {write: ([p:Pathon d:Any] => [none])}	ERROR:mount	a mount needs at least a `read` handler
import "boru:io"  IO.mount {read: 42}	ERROR:mount	every mounted handler must be a Function
import "boru:io"  IO.unmount	ERROR:unmount	unmount with nothing mounted is declined
#
# §18z  zip-as-filesystem — the Pathon form of `IO.mount`: a ".zip" path (or
#       any path with {zip:true}) mounts a read-only ZIP archive, read through
#       the effective FileOps; {writable:true} wraps it as the read-only lower
#       of a fresh in-memory overlay (copy-on-write edits, memory-only). Every
#       mutation on a bare archive declines read-only. A ZIP archive is binary
#       (with per-entry CRCs) and cannot be spelled as a TSV literal, so the
#       positive read/list/stat/open path and the read-only compile failure are pinned
#       with real archives in lang/go/capabilities/zipfs_test.go and
#       lang/go/native/io_mount_zip_test.go; the deterministic spec surface is
#       the intent-required compile failure below.
import "boru:io"  IO.mount (make Pathon "plain.txt")	ERROR:mount	a Pathon mount needs a .zip path or {zip:true} — a bare non-archive path is declined
#
# §17  watch — subscribe to change events on a Pathon: `IO.watch p [body]`
#      runs the body once per event (PUSH style, like TimeUtil.interval)
#      with the {op path} record on the stack, and returns a Watcher
#      handle; `IO.unwatch w` stops it. A third `{recursive match}` options
#      map watches the whole subtree ({recursive:true}) and/or filters events
#      by a path glob ({match:"*.txt"}); the coalesced {op:overflow} marker a
#      slow consumer gets always bypasses the filter. Event DELIVERY is
#      asynchronous (a concurrent fork), so the deterministic spec surface is
#      the handle's identity and the error cases — delivery order/content and
#      the {recursive}/{match}/overflow behaviour are pinned in
#      lang/go/native/io_watch_test.go and capabilities/watch_test.go (mem,
#      fsnotify, and overlay backends).
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://w.txt") "x" drop  typeof (IO.watch (make Pathon "mem://w.txt") [drop])	Watcher	watch returns a Watcher handle
