# tokens	expected	note
# =====================================================================		
# Nodes — List and Map: construction, auto-eval, quoting, interactions		
# =====================================================================		
# boru's two structural Node types:		
#		
#   List  `[ … ]`     — ordered, heterogeneous sequence (Node/List).		
#   Map   `{ k:v … }` — keyed associative collection (Node/Map). Keys		
#                       are INSERTION-ORDERED (D1): a Map preserves the		
#                       order its keys were written / added, and every		
#                       REPRESENTATION surface — Keys(), render, canon,		
#                       iteration, and value-eval order — reflects that		
#                       source order (design/FLEX-ATTRS.1.md §3). The		
#                       order-destroying CANONICAL boundaries stay		
#                       sorted: StructUtil.jsonify (kg ids hash its sort;		
#                       the $class-leads contract rides it) and every		
#                       decode / Ideal→Node projection whose upstream is		
#                       an unordered Go map. Two named orders —		
#                       representation (insertion) vs canonical (sorted)		
#                       — not one inconsistency. `IO.write` is		
#                       representation-faithful; `jsonify` canonicalizes.		
#		
# Both are subtypes of the abstract `Node` (and, like everything, of		
# `Any`). `typeof` on a bare `List`/`Map` type literal reports the		
# metatype `Type`; on the abstract `Node`, `Type`.		
#		
# Lists carry an `eval=true` flag from the parser and auto-evaluate in		
# two contexts (see §4–§5):		
#   - when consumed as a word argument (unless the slot is NoEvalArgs);		
#   - when still residual on the stack at end of Run.		
# `quote` flags a list `quoted=true`, suppressing both. `quote` on a		
# Map is a pass-through (Maps aren't spliced, so there's nothing to		
# suppress) — embedded paren expressions inside a Map still evaluate.		
#		
# === Test fixtures (eng/go/spec_test.go::registerSpecWords) ===		
#   addq     — [Number Number] forward-prec — args[1] + args[0]		
#   subq     — [Number Number] forward-prec — args[1] - args[0]		
#   mulq     — [Number Number] forward-prec — args[1] * args[0]		
#   lengthq  — [List] forward-prec — list length as Integer		
#   firstq   — [List] forward-prec — first element, or None for []		
#   Pre-bound defs: pi=3, tau=6, greeting='hello'.		
# === end fixtures ===		
		
		
# ====================================================================		
# 1. List construction		
# ====================================================================		
		
[ ]	[]	empty list literal
[ ] is [ :Integer ]	true	an empty list vacuously satisfies any element type
[ 'a' 'b' ] is [ :String ]	true	
[ [ 1 2 ] [ 3 4 ] ] is [ :List ]	true	a list of lists conforms to [ :List]
[ 1 2 3 ] is [ :Any ]	true	[ :Any] is the loosest typed-list type
{ a:1 b:2 } is { :Integer }	true	all map values are Integers
{ a:1 b:'x' } is { :Integer }	false	one value ('x') breaks conformance
{ } is { :Integer }	true	an empty map vacuously satisfies any value type
[ :Integer 1 2 3 ] is [ :Integer ]	true	a concrete typed list satisfies its own typed-list type
[ :Integer 1 2 3 ] is List	true	and a concrete typed list is still a List
		
# Both are Nodes, and Nodes (like everything) are Any.		
[ 1 2 3 ] is Node	true	
{ a:1 } is Node	true	
[ ] is Node	true	
[ 1 2 3 ] is Any	true	
{ a:1 } is Any	true	
		
# Cross-kind / scalar checks fail.		
[ 1 2 3 ] is Map	false	
{ a:1 } is List	false	
[ 1 2 3 ] is Integer	false	
{ a:1 } is Integer	false	
		
# A bare type literal at a concrete-payload slot is rejected.		
lengthq List	ERROR:signature_error	List type literal cannot be measured
firstq Map	ERROR:signature_error	
		
# ====================================================================		
# 4. List auto-evaluation		
# ====================================================================		
# A parser list (eval=true) runs through a sub-engine when consumed		
# as a word argument; the residual sub-stack becomes the list.		
		
lengthq [ 1 addq 2 ]	1	[1 addq 2] → [3] before lengthq sees it
firstq [ 1 addq 2 ]	3	first element of the evaluated single-element list
lengthq [ 1 2 3 ]	3	pure literals — auto-eval is a no-op
lengthq [ ( 1 addq 2 ) ( 3 mulq 4 ) ]	2	parens pre-evaluate; auto-eval just normalises
firstq [ ( 10 subq 3 ) ( 1 addq 1 ) ]	7	10-3 = 7 is the first residual
		
# Auto-eval at end of Run — residual eval-lists on the stack drain.		
[ 1 addq 2 ]	[3]	
[ 1 2 3 ]	[1 2 3]	literals untouched
[ ( 1 addq 2 ) ( 4 mulq 2 ) ]	[3 8]	each paren expression evaluates; residual stack becomes contents
[ pi tau ]	[3 6]	def references resolve during auto-eval
		
# Nested lists: the outer list auto-evaluates, inner lists too.		
lengthq [ [ 1 addq 2 ] [ 3 4 ] ]	2	two inner lists; the [1 addq 2] one becomes [3]
firstq [ [ 1 addq 2 ] [ 3 4 ] ]	[3]	first inner list, post-eval
		
# ====================================================================		
# 5. Map auto-evaluation		
# ====================================================================		
# A parser map auto-evaluates its values: paren expressions are		
# inline-evaluated, and embedded eval-lists are evaluated in place.		
		
{ a:( 1 addq 2 ) }	{a:3}	paren value evaluates
{ a:( 1 addq 2 ) b:( 3 mulq 4 ) }	{a:3 b:12}	every paren value evaluates independently
{ a:1 b:( pi mulq tau ) }	{a:1 b:18}	def references resolve inside paren values
{ a:[ 1 addq 2 ] }	{a:[3]}	an embedded eval-list value evaluates to [3]
{ a:[ 1 addq 2 ] b:( 3 mulq 4 ) }	{a:[3] b:12}	mixed list-value and paren-value
{ outer:{ inner:( 6 addq 7 ) } }	{outer:{inner:13}}	recursion: nested map values evaluate too
		
# ====================================================================		
# 6. Def references inside node literals		
# ====================================================================		
# Auto-evaluation resolves def-bound (and pre-bound) Words that appear		
# as values inside a List or Map literal: `def a 1 {x:a}` → `{x:1}`.		
# This composes with paren values, embedded lists, and nesting.		
		
# Bare def reference as a map value.		
def a 1 { x:a }	{x:1}	a resolves to 1 during the map's auto-eval
def a 1 def b 2 { x:a y:b }	{x:1 y:2}	multiple def references resolve independently
greeting { msg:greeting }	'hello' {msg:'hello'}	pre-bound `greeting` resolves (and the bare token leaves 'hello' on the stack first)
{ x:pi }	{x:3}	pre-bound `pi` (=3) resolves with no prior token
def s 'hi' { msg:s }	{msg:'hi'}	String-bound def
		
# Bare def reference as a list element — the list auto-evaluates.		
def a 1 [ a 2 3 ]	[1 2 3]	
def a 1 def b 2 [ a b a ]	[1 2 1]	
[ pi tau pi ]	[3 6 3]	pre-bound defs resolve element-wise
		
# Def references mixed with paren/arithmetic in node values.		
def a 1 { x:a y:( a addq 1 ) }	{x:1 y:2}	bare ref and a paren expression that uses the ref
def a 1 def b 2 { sum:( a addq b ) }	{sum:3}	
def a 1 { items:[ a ( a addq 1 ) ] }	{items:[1 2]}	a list value mixing a bare ref and a paren
		
# Nesting: refs resolve inside lists-in-maps, maps-in-maps, maps-in-lists.		
def n 3 { items:[ n n ] }	{items:[3 3]}	def ref inside an embedded list value
def a 1 { outer:{ inner:a } }	{outer:{inner:1}}	def ref inside a nested map value
def a 1 [ { x:a } { y:a } ]	[{x:1} {y:1}]	def refs inside maps inside a list
		
# A list-bound def referenced as a node value resolves to the list itself.		
def lst (quote [ 10 20 ]) { xs:lst }	{xs:(quote [10 20])}	canonical render preserves the Quoted flag on the resolved list
		
# ====================================================================		
# 7. Quoting — suppress list auto-eval		
# ====================================================================		
# `quote` flips a list's quoted flag. The bare engine won't		
# optimistically accept the function-named Word `quote` at a TList		
# slot, so paren-wrap `( quote … )` when feeding a word directly.		
		
lengthq ( quote [ 1 addq 2 ] )	3	quoted list keeps all 3 raw tokens — including word(addq)
firstq ( quote [ 1 addq 2 ] )	1	quoted; first element is the integer 1
quote [ 1 addq 2 ]	(quote [1 addq 2])	a residual quoted list is NOT auto-evaluated at end of Run
quote [ ]	(quote [])	quoted empty list
lengthq ( quote [ [ 1 2 ] [ 3 4 5 ] ] )	2	quote suppresses only the outer eval flag; structure intact
firstq ( quote [ [ 1 2 ] [ 3 4 5 ] ] )	[1 2]	first element is still the inner list
		
# `quote` on a Map is a pass-through — Maps don't splice, so there's		
# nothing to suppress, and embedded paren values still evaluate.		
quote { a:1 b:2 }	{a:1 b:2}	plain map round-trips unchanged
quote { a:( 1 addq 2 ) }	{a:3}	the inner paren value still evaluates
		
# ====================================================================		
# 8. Composition with def		
# ====================================================================		
# `def NAME [body]` stores the list as a CODE BODY (NoEvalArgs on		
# def's body slot keeps it raw); each reference splices and runs it.		
# `def NAME quote [body]` stores it as DATA — no splicing.		
# `def NAME {map}` binds the map as a value; references substitute it.		
		
def doub word [ 1 addq ] 5 doub	6	body splices: stack=[5], 1, addq → 6
def square word [ dup mulq ] 7 square	49	dup, mulq: 7*7
def lst (quote [ 1 2 3 ]) lengthq lst	3	quoted list resolves as data — three elements
def lst (quote [ 1 2 3 ]) firstq lst	1	
def m { a:1 b:2 } m	{a:1 b:2}	map binding round-trips
def m (quote { a:1 b:2 }) m	{a:1 b:2}	quote on a map binding — still just the map value
def empty word [ ] 5 empty	5	empty-body splice is a no-op; 5 stays
		
# A def-bound list flows into a list-consuming word.		
def lst (quote [ 1 2 3 4 ]) lengthq lst	4	
def lst (quote [ 9 8 7 ]) firstq lst	9	
		
# ====================================================================		
# 9. Nesting and round-trips		
# ====================================================================		
		
lengthq [ { a:1 } { b:2 } { c:3 } ]	3	list of three maps
firstq [ { a:1 } { b:2 } ]	{a:1}	first element is the first map
[ { a:( 1 addq 1 ) } { b:( 2 addq 2 ) } ]	[{a:2} {b:4}]	auto-eval reaches paren values inside maps inside the list
{ items:[ ( 1 addq 1 ) ( 2 addq 2 ) ] }	{items:[2 4]}	embedded eval-list inside a map value
{ a:[ { x:1 } { x:2 } ] }	{a:[{x:1} {x:2}]}	list-of-maps as a map value
